Fighter,Opponent
1,Matt Ricehouse
1,Eric Steenberg
2,Jorge Gurgel
2,Kalib Starnes
3,Ismael Bonfim
4,Kevin Ferguson
4,Paul Buentello
4,Hidehiko Yoshida
4,Wesley Correira
4,Kimo Leopoldo
4,Frank Mir
4,Pedro Rizzo
4,Hugo Duarte
4,Yoji Anjo
4,Maurice Smith
4,Vitor Belfort
4,Don Frye
4,Steve Nelmark
4,Cal Worsham
4,Scott Ferrozzo
4,Sam Adkins
4,Dan Severn
4,Steve Jennum
4,Oleg Taktarov
4,Paul Varelans
4,John Matua
5,Don'Tale Mayes
6,Jailton Almeida
6,Sergei Pavlovich
6,Chris Daukaus
6,Curtis Blaydes
6,Marcin Tybura
6,Andrei Arlovski
6,Chase Sherman
6,Derrick Lewis
6,Walt Harris
6,Anthony Hamilton
6,Timothy Johnson
7,Naoki Matsushita
7,Luiz Firmino
8,Li Jingliang
8,Luke Jumeau
8,Hyun Gyu Lim
9,Dylan Andrews
9,Besam Yousef
9,James Head
9,Thiago Alves
10,Jake Collier
10,Wagner Silva
11,Jamahal Hill
11,Shamil Gamzatov
11,Sam Alvey
11,Magomed Ankalaev
12,No known opponents
13,Rousimar Palhares
13,Akihiro Gono
13,Kazuo Misaki
13,Daiju Takase
14,HanSeul Kim
15,Ian Freeman
16,Justin Tafa
16,Greg Hardy
16,Arjan Bhullar
16,Chris de la Rocha
16,Shawn Teed
17,Impa Kasanganay
17,Chibwikem Onyenegecha
18,Ode Osbourne
18,Ryan Benoit
18,Sumudaerji
18,Tyson Nam
19,Sean Strickland
19,Alex Pereira
19,Alex Pereira
19,Jared Cannonier
19,Robert Whittaker
19,Marvin Vettori
19,Jan Blachowicz
19,Paulo Costa
19,Yoel Romero
19,Robert Whittaker
19,Kelvin Gastelum
19,Anderson Silva
19,Derek Brunson
19,Brad Tavares
19,Marvin Vettori
19,Rob Wilkinson
20,David Abbott
20,Felix Lee Mitchell
20,Don Frye
20,Keith Mielke
21,Yves Edwards
22,Gillian Robertson
22,Maryna Moroz
22,Sabina Mazo
22,Shana Dobson
22,Hannah Cifers
22,Tracy Cortez
23,Matt Hughes
24,No known opponents
25,Martin Kampmann
26,Marina Rodriguez
26,Zhang Weili
26,Jodie Esquibel
26,Cortney Casey
26,Claudia Gadelha
27,Tucker Lutz
27,Charles Rosa
27,Zubaira Tukhugov
27,Dan Ige
27,Enrique Barzola
27,Ricky Glenn
27,Joey Gomez
28,Shannon Ross
28,Tatsuro Taira
28,Erisson Ferreira
29,Carlston Harris
29,Sean Brady
29,Anthony Ivy
30,Payton Talbott
30,Dan Argueta
31,Billy Evangelista
31,Nick Diaz
32,Mateus Mendonca
33,Sara McMann
33,Miesha Tate
33,Carina Damm
33,Cristiane Justino
34,Brad Tavares
34,Tom Breese
34,Chris Weidman
34,Ian Heinisch
34,Zak Cummings
34,Tim Boetsch
34,Marvin Vettori
34,Abdul Razak Alhassan
34,Kyle Noke
34,Elizeu Zaleski dos Santos
34,Sergio Moraes
34,Brian Ebersole
34,Mats Nilsson
34,Gunnar Nelson
34,Thiago Perpetuo
35,Alberto Mina
35,Amir Sadollah
35,Jake Shields
35,Vitor Belfort
35,Michael Bisping
35,Chris Leben
35,Alan Belcher
35,Masanori Tonooka
35,Katsuyori Shibata
35,Kazuo Misaki
35,Denis Kang
35,Kazushi Sakuraba
35,Melvin Manhoef
35,Kestutis Smirnovas
35,Taiei Kin
35,Katsuhiko Nagata
35,Tokimitsu Ishizawa
35,Masakatsu Okuda
35,Michael Lerma
35,Carl Toomey
35,Jerome LeBanner
35,Francois Botha
36,Jake Matthews
36,Sergey Khandozhko
37,Kyle Kingsbury
37,Steve Cantwell
38,George Hardwick
39,Jon Madsen
39,Mirko Filipovic
39,Cheick Kongo
40,William Knight
41,Adam Antolin
42,Chris Gutierrez
42,Chad Anheliger
42,Kevin Croom
42,Gustavo Lopez
42,Casey Kenney
42,Ryan Benoit
42,Batgerel Danaa
43,Kai Kara-France
43,Alessandro Costa
43,Francisco Figueiredo
43,Zhalgas Zhumagulov
43,Malcolm Gordon
44,Virgil Zwicker
45,Yaotzin Meza
45,Scott Jorgensen
45,Erik Perez
45,Ivan Menjivar
45,Dustin Pague
46,Maurice Greene
46,Jairzinho Rozenstruik
46,Aleksei Oleinik
46,Andrei Arlovski
46,Timothy Johnson
47,Tito Ortiz
48,Loma Lookboonmee
48,Emily Whitmire
48,Kailin Curran
48,Izabela Badurek
49,Anderson Silva
50,Mario Rivera
51,Cory Sandhagen
51,Joe Soto
51,Alejandro Perez
51,Brian Kelleher
51,Luke Sanders
51,Brad Pickett
51,Jimmie Rivera
51,Leandro Issa
51,Frankie Saenz
51,Russell Doane
51,Vaughan Lee
51,Wilson Reis
51,Urijah Faber
51,Iliarde Santos
51,Pedro Nobre
51,Hacran Dias
51,Michihiro Omigawa
51,Felipe Arantes
51,Ricardo Lamas
52,Kevin Casey
52,Richardson Moreira
52,Kenny Robertson
52,Albert Tumenov
52,Igor Araujo
52,Leandro Silva
52,Wagner Prado
53,Jens Pulver
54,Cheick Kongo
54,Paul Buentello
55,Karol Rosa
55,Amanda Nunes
55,Macy Chiasson
55,Yana Santos
55,Holly Holm
55,Ketlen Vieira
55,Vanessa Melo
55,Raquel Pennington
55,Bethe Correia
55,Lucie Pudilova
55,Talita Bernardo
55,Katlyn Cerminara
55,Leslie Smith
56,Miguel Baeza
56,Laureano Staropoli
56,Song Kenan
57,Saimon Oliveira
58,Merab Dvalishvili
58,Rob Font
58,Pedro Munhoz
58,Marlon Vera
58,Petr Yan
58,Marlon Moraes
58,Alexander Volkanovski
58,Renato Moicano
58,Jeremy Stephens
58,Max Holloway
58,Max Holloway
58,Frankie Edgar
58,Conor McGregor
58,Chad Mendes
58,Ricardo Lamas
58,Chan Sung Jung
58,Frankie Edgar
58,Chad Mendes
58,Kenny Florian
58,Mark Hominick
58,Manvel Gamburyan
58,Urijah Faber
58,Mike Brown
58,Cub Swanson
58,Chris Mickle
58,Rolando Perez
58,Jonathan Brookins
58,Alexandre Franca Nogueira
59,Montana De La Rosa
59,Liang Na
59,Ariane Lipski
59,Erin Blanchfield
59,Gillian Robertson
59,Vanessa Demopoulos
59,Cortney Casey
59,Sabina Mazo
59,Lauren Mueller
59,Maycee Barber
59,Polyana Viana
59,Danielle Taylor
59,Chan-Mi Jeon
59,Juliana Lima
60,Melissa Dixon
60,Stephanie Egger
61,Rayanne Amanda
61,Stephanie Luciano
62,Jason Knight
62,Cole Miller
62,Chas Skelly
62,Alan Omer
63,Shane Roller
63,Mark Bocek
63,Andre Galvao
63,Brock Larson
63,Todd Moore
63,Marcelo Brito
63,Alex Serdyukov
63,Carlos Condit
63,Brian Gassaway
63,Thiago Alves
63,Alex Serdyukov
63,Diego Sanchez
63,Pat Miletich
64,Kevin Ferguson
64,Eric Schafer
64,James Irvin
64,Thiago Silva
64,Alessio Sakara
64,Keith Jardine
65,Rob McCullough
65,Donald Cerrone
66,Jeka Saragih
66,Steven Peterson
66,Joanderson Brito
67,Leonardo Silva de Oliveira
67,Court McGee
67,Tim Means
67,Warlley Alves
68,Alex Karalexis
68,John Polakowski
68,Hayato Sakurai
68,Gilbert Melendez
69,Marcos da Matta
70,No known opponents
71,Alexander Hernandez
71,TJ Brown
71,Andre Fili
71,Herbert Burns
71,Joanderson Brito
71,Ricardo Ramos
71,Spike Carlyle
71,Ricardo Lamas
71,Brendan Loughnane
72,Eugene Jackson
72,Enson Inoue
73,No known opponents
74,Keita Nakamura
74,Warlley Alves
74,Bojan Velickovic
74,Kenny Robertson
75,Rafael Alves
75,Josh Wick
76,Warlley Alves
76,Phil Hawes
76,Mario Sousa
77,Brunno Ferreira
78,Dustin Jacoby
78,Roman Dolidze
78,Mike Rodriguez
78,Vinicius Moreira
79,Keith Jardine
80,Max Holloway
80,Calvin Kattar
80,Dan Hooker
80,Sodiq Yusuff
80,Nik Lentz
80,Gilbert Melendez
80,Jordan Rinaldi
80,Mads Burnell
80,Makwan Amirkhani
80,Yaotzin Meza
80,Alan Omer
81,Paul Craig
81,Bruno Silva
81,Andre Muniz
81,Krzysztof Jotko
81,Jacob Malkoun
81,Sam Alvey
81,Chris Curtis
81,Punahele Soriano
81,Karl Roberson
81,Sean Strickland
81,Kyle Daukaus
81,Tom Breese
81,Kevin Holland
81,Aaron Jeffery
82,Jacobi Jones
83,Zak Cummings
83,Ryan LaFlare
83,Manuel Rodriguez
84,Ode Osbourne
85,Mike Pyle
85,TJ Grant
85,Matt Hughes
85,Matt Brown
85,Kendall Grove
85,Matt Horwich
85,Patrick Cote
85,Rob Yundt
85,Ryo Chonan
85,Andrei Semenov
85,Eugene Jackson
85,Matt Lindland
85,Akira Shoji
86,James Terry
86,Conor Heun
87,Sean O'Malley
87,Jonathan Martinez
87,Rob Font
87,Jimmie Rivera
87,Albert Morales
87,Cody Garbrandt
87,Anthony Birchak
87,Brad Pickett
87,Yves Jabouin
87,Tim Gorman
88,Aisling Daly
88,Juliana Lima
89,Taila Santos
90,Derrick Lewis
90,Jairzinho Rozenstruik
90,Shamil Abdurakhimov
90,Anton Turkalj
90,Parker Porter
90,Danilo Marques
90,Nasrudin Nasrudinov
91,Andre Fili
91,Pat Sabatini
91,Michael Trizano
91,Daniel Zellhuber
92,Lucas Fernando
93,No known opponents
94,Erin Blanchfield
94,Jessica-Rose Clark
94,Shanna Young
95,Tony Kelley
95,Irwin Rivera
96,Alexander Trevino
97,Tim Elliott
97,Vinicius Salvador
97,Daniel Lacerda
97,Carlos Hernandez
97,Carlos Candelario
98,Cung Le
99,Julia Polastri
100,Wesley Correira
101,Dustin Poirier
101,Justin Gaethje
101,Dustin Poirier
101,Conor McGregor
101,Rafael Dos Anjos
101,Anthony Pettis
101,Gilbert Melendez
101,Donald Cerrone
101,Katsunori Kikuno
101,Shinya Aoki
101,Tatsuya Kawajiri
101,Joachim Hansen
101,Andre Amado
102,Martin Day
103,Marc Diakiese
103,Arman Tsarukyan
103,Thiago Moises
103,Alexander Yakovlev
103,Joe Duffy
103,Danilo Belluardo
103,Damir Ismagulov
104,Tim Means
104,Laureano Staropoli
104,Max Griffin
104,Aleksei Kunchenko
104,Curtis Millender
104,Patrick Cote
104,Jim Miller
104,Carlos Condit
104,Jordan Mein
104,Seth Baczynski
104,Martin Kampmann
104,Papy Abedi
104,Rick Story
104,John Howard
104,Jon Fitch
104,Georges St-Pierre
104,Josh Koscheck
104,Matt Hughes
104,Karo Parisyan
104,Chris Lytle
104,Kuniyoshi Hironaka
104,Tony DeSouza
104,John Alessio
104,Jon Fitch
104,Derrick Noble
104,Ansar Chalangov
104,Spencer Fisher
105,Jesse Jones
106,Charlie Brenneman
106,Mike Pierce
107,Ikram Aliskerov
107,Nicolas Dalby
107,Jeremiah Wells
107,Mounir Lazzez
107,Randy Brown
107,Sergio Moraes
107,James Krause
107,Sultan Aliev
107,Salim Touahri
107,Kamaru Usman
107,Bryan Barberena
107,Colby Covington
107,Nordine Taleb
107,Alan Jouban
107,Marcio Alexandre Junior
108,Nurullo Aliev
108,Drew Dober
108,Marc Diakiese
108,Damir Ismagulov
108,Alejandro Flores
109,Michal Oleksiejczuk
109,Brendan Allen
109,Wellington Turman
109,Julian Marquez
109,Da Woon Jung
109,Ryan Spann
109,Klidson Abreu
109,Jimmy Crute
109,Rogerio Nogueira
109,Gian Villante
109,Marcin Prachnio
109,Ramazan Emeev
109,Rashad Evans
109,Thales Leites
109,Nate Marquardt
109,Alex Nicholson
109,Kevin Casey
109,Eric Spicely
109,Elias Theodorou
109,Derek Brunson
109,Daniel Kelly
109,Cezar Ferreira
109,Dylan Andrews
109,Tom Watson
110,KJ Noons
110,Katsunori Kikuno
110,Eddie Alvarez
111,TJ Waldburger
111,Chris Spang
111,Keith Berry
111,Robbie Lawler
111,Anthony Smith
111,Ron Stallings
112,Sarah Frota
113,Talita Alencar
113,Denise Gomes
114,Sean Bassett
115,Ikuhisa Minowa
115,Sergei Kharitonov
115,Ricco Rodriguez
116,Mike Pyle
117,Joe Pyfer
117,Joseph Holmes
117,John Phillips
117,Krzysztof Jotko
118,Emrah Sonmez
119,Jack Shore
119,Jonathan Pearce
119,Mike Grundy
119,Lerone Murphy
119,Kamuela Kirk
119,Edson Barboza
119,Danny Henry
119,Shane Burgos
119,Chris Fishgold
119,Jason Knight
119,Arnold Allen
119,Mike Wilkinson
119,Masio Fullen
119,Andy Ogle
120,Montserrat Conejo Ruiz
120,Sam Hughes
121,Raou Raou
122,Kazuhiro Nakamura
122,Trevor Prangley
123,Marc-Andre Barriault
123,Kyle Daukaus
123,JunYong Park
123,Andre Muniz
123,Darren Stewart
123,Darren Stewart
123,Krzysztof Jotko
123,Gerald Meerschaert
123,Vinicius Moreira
123,Khalil Rountree Jr.
123,Elias Theodorou
123,Thiago Santos
123,Tim Williams
123,Lyoto Machida
123,Markus Perez
123,Rafael Natal
124,Rafael Carino
125,Jon Hess
126,John Lewis
127,Jan Blachowicz
127,Johnny Walker
127,Ilir Latifi
127,Glover Teixeira
127,Patrick Cummins
127,Ovince Saint Preux
127,Jimi Manuwa
127,Sean O'Connell
127,Mauricio Rua
127,Tom Lawlor
127,Fabio Maldonado
127,Jan Blachowicz
127,Gian Villante
127,Justin Jones
127,Matt Van Buren
128,No known opponents
129,Amanda Nunes
129,Norma Dumont
129,Zarah Fairn
129,Felicia Spencer
129,Cat Zingano
129,Holly Holm
130,No known opponents
131,Murilo Rua
131,Amaury Bitetti
132,Mackenzie Dern
132,Tatiana Suarez
132,Yan Xiaonan
132,Erin Blanchfield
132,Lauren Murphy
132,Amanda Lemos
132,Cynthia Calvillo
132,Valentina Shevchenko
132,Katlyn Cerminara
132,Rose Namajunas
132,Zhang Weili
132,Rose Namajunas
132,Karolina Kowalkiewicz
132,Tecia Torres
132,Claudia Gadelha
132,Joanna Jedrzejczyk
132,Angela Hill
132,Joanne Wood
132,Jessica Penne
132,Raquel Pennington
132,Sarah Moras
132,Marion Reneau
132,Larissa Pacheco
132,Raquel Pennington
132,Rosi Sexton
132,Liz Carmouche
133,Richard Walsh
133,Gasan Umalatov
133,Nicholas Musoke
133,Bristol Marunde
134,Joey Villasenor
134,Ronald Jhun
134,Lance Gibson
135,Alessandro Costa
136,No known opponents
137,Brad Scott
137,Sam Alvey
137,Clint Hester
137,Papy Abedi
137,Jimmy Quinlan
138,Matt Hamill
138,Brandon Vera
139,Lu Kai
140,Karl Reed
141,Sean Woodson
141,Melsik Baghdasaryan
141,Muhammad Naimov
142,Jose Johnson
142,Alatengheili
142,Jesse Strader
142,Muin Gafurov
143,Ryan Gracie
143,Matt Lindland
143,Murilo Bustamante
143,David Abbott
144,Johnny Walker
144,Jan Blachowicz
144,Anthony Smith
144,Thiago Santos
144,Volkan Oezdemir
144,Nikita Krylov
144,Ion Cutelaba
144,Ion Cutelaba
144,Dalcha Lungiambula
144,Klidson Abreu
144,Marcin Prachnio
144,Paul Craig
145,Maxim Grishin
145,Paul Craig
145,Michal Oleksiejczuk
145,Ion Cutelaba
145,Joachim Christensen
145,Marcos Rogerio de Lima
146,Casey Kenney
146,Ronald Carillo
146,Javi Alanis
146,Hugo Govea
147,Mauricio Rua
148,Justin Ledet
148,Greg Rebello
149,Jake Matthews
149,Luke Jumeau
149,Roger Zapata
149,Alberto Mina
150,Antonio McKee
150,Satoru Kitaoka
150,Rob McCullough
150,Rich Clementi
150,Lyle Beerbohm
150,Yokthai Sithoar
150,Marcus Aurelio
150,Tatsuya Kawajiri
150,Gilbert Melendez
150,Mizuto Hirota
150,Joachim Hansen
150,Vitor Ribeiro
150,Hayato Sakurai
150,David Gardner
150,Eddie Alvarez
150,Todd Moore
150,Joachim Hansen
150,Caol Uno
150,Katsuhiko Nagata
150,Gesias Cavalcante
150,Gesias Cavalcante
150,Bu-Kyung Jung
150,Brian Lo-A-Njoe
150,Akira Kikuchi
150,Joachim Hansen
150,Clay French
150,George Sotiropoulos
150,Jason Black
150,Kuniyoshi Hironaka
150,Keith Wisniewski
150,Jutaro Nakao
151,Johnny Munoz
151,Aiemann Zahabi
151,Jay Perrin
151,Cameron Else
151,Cody Durden
151,Jeff Molina
152,Jeff Hughes
153,Ryan Larson
153,Bobby Voelker
153,Brock Larson
154,Jens Pulver
155,Dave Strasser
155,Joe Stevenson
156,Song Yadong
156,Josh Emmett
156,Erik Perez
156,Jerrod Sanders
156,Yves Jabouin
156,Andre Fili
156,Maximo Blanco
156,Edimilson Souza
156,Godofredo Pepey
156,Milton Vieira
156,Antonio Carvalho
156,Iuri Alcantara
157,Sean Strickland
157,George Sullivan
157,Danny Mitchell
157,Ildemar Alcantara
158,Jennifer Maia
158,Amanda Ribas
158,Alexa Grasso
158,Andrea Lee
158,Katlyn Cerminara
158,Roxanne Modafferi
158,Montana De La Rosa
158,Jessica Eye
158,Alexis Davis
158,Talita Bernardo
159,Montel Jackson
159,Daniel Santos
159,Song Yadong
159,Andre Ewell
159,Hakeem Dawodu
159,Julian Erosa
159,Sheymon Moraes
159,Daniel Teymur
159,Dan Ige
159,Peter Petties
160,No known opponents
161,Tommy Petersen
162,No known opponents
163,Miles Johns
163,Ronnie Lawrence
163,Nick Aguirre
163,Damon Jackson
164,No known opponents
165,AJ Dobson
166,Don'Tale Mayes
